Yr,Order_live_births,Age_mother,Fertility_rates
2016,Second order live births,40 – 44,5
2016,Second order live births,45 – 49,0.2
2016,Third order live births,15 – 19,§
2016,Third order live births,20 – 24,0.4
2016,Third order live births,25 – 29,2.4
2016,Third order live births,30 – 34,6
2016,Third order live births,35 – 39,6.4
2016,Third order live births,40 – 44,2.1
2016,Third order live births,45 – 49,0.1
2016,Fourth and higher order live births,15 – 19,§
2016,Fourth and higher order live births,20 – 24,0.1
2016,Fourth and higher order live births,25 – 29,0.4
2016,Fourth and higher order live births,30 – 34,1.2
2016,Fourth and higher order live births,35 – 39,1.5
2016,Fourth and higher order live births,40 – 44,0.6
2016,Fourth and higher order live births,45 – 49,0.1
2017,First order live births,15 – 19,2.1
2017,First order live births,20 – 24,12.3
2017,First order live births,25 – 29,34
2017,First order live births,30 – 34,44.9
2017,First order live births,35 – 39,22.6
2017,First order live births,40 – 44,3.7
2017,First order live births,45 – 49,0.2
2017,Second order live births,15 – 19,0.3
2017,Second order live births,20 – 24,3.8
2017,Second order live births,25 – 29,16.7
2017,Second order live births,30 – 34,32.8
2017,Second order live births,35 – 39,26.7
2017,Second order live births,40 – 44,4.9
2017,Second order live births,45 – 49,0.2
2017,Third order live births,15 – 19,§
2017,Third order live births,20 – 24,0.5
2017,Third order live births,25 – 29,2.6
2017,Third order live births,30 – 34,5.7
2017,Third order live births,35 – 39,6.5
2017,Third order live births,40 – 44,1.9
2017,Third order live births,45 – 49,0.2
2017,Fourth and higher order live births,15 – 19,§
2017,Fourth and higher order live births,20 – 24,0.1
2017,Fourth and higher order live births,25 – 29,0.5
2017,Fourth and higher order live births,30 – 34,1.2
2017,Fourth and higher order live births,35 – 39,1.4
2017,Fourth and higher order live births,40 – 44,0.6
2017,Fourth and higher order live births,45 – 49,0.1
2018,First order live births,15 – 19,1.7
2018,First order live births,20 – 24,10.4
2018,First order live births,25 – 29,31.2
2018,First order live births,30 – 34,44.1
2018,First order live births,35 – 39,22.3
2018,First order live births,40 – 44,3.6
2018,First order live births,45 – 49,0.3
2018,Second order live births,15 – 19,0.2
2018,Second order live births,20 – 24,3.5
2018,Second order live births,25 – 29,14.8
2018,Second order live births,30 – 34,30.4
2018,Second order live births,35 – 39,25.9
2018,Second order live births,40 – 44,4.8
2018,Second order live births,45 – 49,0.3
2018,Third order live births,15 – 19,§
2018,Third order live births,20 – 24,0.4
2018,Third order live births,25 – 29,2.6
2018,Third order live births,30 – 34,5.5
2018,Third order live births,35 – 39,6.7
2018,Third order live births,40 – 44,1.7
2018,Third order live births,45 – 49,0.1
2018,Fourth and higher order live births,15 – 19,§
2018,Fourth and higher order live births,20 – 24,0.1
2018,Fourth and higher order live births,25 – 29,0.5
2018,Fourth and higher order live births,30 – 34,1.2
2018,Fourth and higher order live births,35 – 39,1.4
2018,Fourth and higher order live births,40 – 44,0.5
2018,Fourth and higher order live births,45 – 49,0.1
2019,First order live births,15 – 19,1.3
2019,First order live births,20 – 24,9.2
2019,First order live births,25 – 29,29.5
2019,First order live births,30 – 34,45.3
2019,First order live births,35 – 39,22.2
2019,First order live births,40 – 44,4
2019,First order live births,45 – 49,0.3
2019,Second order live births,15 – 19,0.2
2019,Second order live births,20 – 24,3.1
2019,Second order live births,25 – 29,13.8
2019,Second order live births,30 – 34,30.2
2019,Second order live births,35 – 39,25.7
2019,Second order live births,40 – 44,4.5
2019,Second order live births,45 – 49,0.3
2019,Third order live births,15 – 19,§
2019,Third order live births,20 – 24,0.4
2019,Third order live births,25 – 29,2.3
2019,Third order live births,30 – 34,5.3
2019,Third order live births,35 – 39,6.8
2019,Third order live births,40 – 44,1.7
2019,Third order live births,45 – 49,0.2
2019,Fourth and higher order live births,15 – 19,§
2019,Fourth and higher order live births,20 – 24,0.1
2019,Fourth and higher order live births,25 – 29,0.4
2019,Fourth and higher order live births,30 – 34,1.1
2019,Fourth and higher order live births,35 – 39,1.5
2019,Fourth and higher order live births,40 – 44,0.6
2019,Fourth and higher order live births,45 – 49,0.1
2020,First order live births,15 – 19,1.1
2020,First order live births,20 – 24,6.6
2020,First order live births,25 – 29,21.5
2020,First order live births,30 – 34,36.6
2020,First order live births,35 – 39,19.6
2020,First order live births,40 – 44,3.4
2020,First order live births,45 – 49,0.3
2020,Second order live births,15 – 19,0.2
2020,Second order live births,20 – 24,2.3
2020,Second order live births,25 – 29,10.1
2020,Second order live births,30 – 34,24.2
2020,Second order live births,35 – 39,21.4
2020,Second order live births,40 – 44,3.9
2020,Second order live births,45 – 49,0.2
2020,Third order live births,15 – 19,§
2020,Third order live births,20 – 24,0.4
2020,Third order live births,25 – 29,1.9
2020,Third order live births,30 – 34,4.7
2020,Third order live births,35 – 39,5.6
2020,Third order live births,40 – 44,1.6
2020,Third order live births,45 – 49,0.1
2020,Fourth and higher order live births,15 – 19,§
2020,Fourth and higher order live births,20 – 24,0.1
2020,Fourth and higher order live births,25 – 29,0.4
2020,Fourth and higher order live births,30 – 34,1
2020,Fourth and higher order live births,35 – 39,1.4
2020,Fourth and higher order live births,40 – 44,0.5
2020,Fourth and higher order live births,45 – 49,§
2021,First order live births,15 – 19,0.9
2021,First order live births,20 – 24,4.2
2021,First order live births,25 – 29,16.5
2021,First order live births,30 – 34,31.9
2021,First order live births,35 – 39,17.4
2021,First order live births,40 – 44,2.8
2021,First order live births,45 – 49,0.1
2021,Second order live births,15 – 19,0.1
2021,Second order live births,20 – 24,1.9
2021,Second order live births,25 – 29,7.8
2021,Second order live births,30 – 34,21
2021,Second order live births,35 – 39,19.5
2021,Second order live births,40 – 44,3.8
2021,Second order live births,45 – 49,0.2
2021,Third order live births,15 – 19,§
2021,Third order live births,20 – 24,0.3
2021,Third order live births,25 – 29,1.6
2021,Third order live births,30 – 34,4
2021,Third order live births,35 – 39,4.9
2021,Third order live births,40 – 44,1.5
2021,Third order live births,45 – 49,0.1
2021,Fourth and higher order live births,15 – 19,§
2021,Fourth and higher order live births,20 – 24,0.1
2021,Fourth and higher order live births,25 – 29,0.3
2021,Fourth and higher order live births,30 – 34,0.9
2021,Fourth and higher order live births,35 – 39,1.3
2021,Fourth and higher order live births,40 – 44,0.5
2021,Fourth and higher order live births,45 – 49,0.1
