Yr,Pre_marital_s1,Pre_marital_s2,Age_gp,No_of_marri
2005,Previous marital status of bridegrooms,Total,30 – 34,10834
2005,Previous marital status of bridegrooms,Never married,35 – 39,4448
2005,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,1608
2005,Previous marital status of bridegrooms,Others,35 – 39,–
2005,Previous marital status of bridegrooms,Total,35 – 39,6056
2005,Previous marital status of bridegrooms,Never married,40 – 44,2227
2005,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,1872
2005,Previous marital status of bridegrooms,Others,40 – 44,–
2005,Previous marital status of bridegrooms,Total,40 – 44,4099
2005,Previous marital status of bridegrooms,Never married,45 – 49,1033
2005,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,1945
2005,Previous marital status of bridegrooms,Others,45 – 49,–
2005,Previous marital status of bridegrooms,Total,45 – 49,2978
2005,Previous marital status of bridegrooms,Never married,50+,1690
2005,Previous marital status of bridegrooms,Widowed / Divorced,50+,3526
2005,Previous marital status of bridegrooms,Others,50+,142
2005,Previous marital status of bridegrooms,Total,50+,5358
2006,Previous marital status of bridegrooms,Never married,16 – 19,267
2006,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2006,Previous marital status of bridegrooms,Others,16 – 19,–
2006,Previous marital status of bridegrooms,Total,16 – 19,267
2006,Previous marital status of bridegrooms,Never married,20 – 24,4000
2006,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,18
2006,Previous marital status of bridegrooms,Others,20 – 24,–
2006,Previous marital status of bridegrooms,Total,20 – 24,4018
2006,Previous marital status of bridegrooms,Never married,25 – 29,11437
2006,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,351
2006,Previous marital status of bridegrooms,Others,25 – 29,–
2006,Previous marital status of bridegrooms,Total,25 – 29,11788
2006,Previous marital status of bridegrooms,Never married,30 – 34,12105
2006,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1307
2006,Previous marital status of bridegrooms,Others,30 – 34,–
2006,Previous marital status of bridegrooms,Total,30 – 34,13412
2006,Previous marital status of bridegrooms,Never married,35 – 39,5440
2006,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,1955
2006,Previous marital status of bridegrooms,Others,35 – 39,–
2006,Previous marital status of bridegrooms,Total,35 – 39,7395
2006,Previous marital status of bridegrooms,Never married,40 – 44,2474
2006,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,2276
2006,Previous marital status of bridegrooms,Others,40 – 44,–
2006,Previous marital status of bridegrooms,Total,40 – 44,4750
2006,Previous marital status of bridegrooms,Never married,45 – 49,1101
2006,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,2075
2006,Previous marital status of bridegrooms,Others,45 – 49,–
2006,Previous marital status of bridegrooms,Total,45 – 49,3176
2006,Previous marital status of bridegrooms,Never married,50+,1412
2006,Previous marital status of bridegrooms,Widowed / Divorced,50+,4024
2006,Previous marital status of bridegrooms,Others,50+,86
2006,Previous marital status of bridegrooms,Total,50+,5522
2007,Previous marital status of bridegrooms,Never married,16 – 19,208
2007,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2007,Previous marital status of bridegrooms,Others,16 – 19,–
2007,Previous marital status of bridegrooms,Total,16 – 19,208
2007,Previous marital status of bridegrooms,Never married,20 – 24,3503
2007,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,12
2007,Previous marital status of bridegrooms,Others,20 – 24,–
2007,Previous marital status of bridegrooms,Total,20 – 24,3515
2007,Previous marital status of bridegrooms,Never married,25 – 29,10922
2007,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,305
2007,Previous marital status of bridegrooms,Others,25 – 29,–
2007,Previous marital status of bridegrooms,Total,25 – 29,11227
2007,Previous marital status of bridegrooms,Never married,30 – 34,11573
2007,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1201
2007,Previous marital status of bridegrooms,Others,30 – 34,–
2007,Previous marital status of bridegrooms,Total,30 – 34,12774
2007,Previous marital status of bridegrooms,Never married,35 – 39,5281
2007,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,1762
2007,Previous marital status of bridegrooms,Others,35 – 39,–
2007,Previous marital status of bridegrooms,Total,35 – 39,7043
2007,Previous marital status of bridegrooms,Never married,40 – 44,2402
2007,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,2127
2007,Previous marital status of bridegrooms,Others,40 – 44,–
2007,Previous marital status of bridegrooms,Total,40 – 44,4529
2007,Previous marital status of bridegrooms,Never married,45 – 49,1021
2007,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,2006
2007,Previous marital status of bridegrooms,Others,45 – 49,–
2007,Previous marital status of bridegrooms,Total,45 – 49,3027
2007,Previous marital status of bridegrooms,Never married,50+,1054
2007,Previous marital status of bridegrooms,Widowed / Divorced,50+,3971
2007,Previous marital status of bridegrooms,Others,50+,105
2007,Previous marital status of bridegrooms,Total,50+,5130
2008,Previous marital status of bridegrooms,Never married,16 – 19,184
2008,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2008,Previous marital status of bridegrooms,Others,16 – 19,–
2008,Previous marital status of bridegrooms,Total,16 – 19,184
2008,Previous marital status of bridegrooms,Never married,20 – 24,3430
2008,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,19
2008,Previous marital status of bridegrooms,Others,20 – 24,–
2008,Previous marital status of bridegrooms,Total,20 – 24,3449
2008,Previous marital status of bridegrooms,Never married,25 – 29,11348
2008,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,293
2008,Previous marital status of bridegrooms,Others,25 – 29,1
2008,Previous marital status of bridegrooms,Total,25 – 29,11642
2008,Previous marital status of bridegrooms,Never married,30 – 34,11860
2008,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1130
2008,Previous marital status of bridegrooms,Others,30 – 34,–
2008,Previous marital status of bridegrooms,Total,30 – 34,12990
2008,Previous marital status of bridegrooms,Never married,35 – 39,5198
2008,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,1826
2008,Previous marital status of bridegrooms,Others,35 – 39,–
2008,Previous marital status of bridegrooms,Total,35 – 39,7024
2008,Previous marital status of bridegrooms,Never married,40 – 44,2268
2008,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,1823
2008,Previous marital status of bridegrooms,Others,40 – 44,–
2008,Previous marital status of bridegrooms,Total,40 – 44,4091
2008,Previous marital status of bridegrooms,Never married,45 – 49,1091
2008,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,1997
2008,Previous marital status of bridegrooms,Others,45 – 49,–
2008,Previous marital status of bridegrooms,Total,45 – 49,3088
2008,Previous marital status of bridegrooms,Never married,50+,920
2008,Previous marital status of bridegrooms,Widowed / Divorced,50+,3870
2008,Previous marital status of bridegrooms,Others,50+,73
2008,Previous marital status of bridegrooms,Total,50+,4863
2009,Previous marital status of bridegrooms,Never married,16 – 19,160
2009,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2009,Previous marital status of bridegrooms,Others,16 – 19,–
2009,Previous marital status of bridegrooms,Total,16 – 19,160
2009,Previous marital status of bridegrooms,Never married,20 – 24,3675
2009,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,14
2009,Previous marital status of bridegrooms,Others,20 – 24,–
2009,Previous marital status of bridegrooms,Total,20 – 24,3689
2009,Previous marital status of bridegrooms,Never married,25 – 29,12524
2009,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,265
2009,Previous marital status of bridegrooms,Others,25 – 29,–
2009,Previous marital status of bridegrooms,Total,25 – 29,12789
2009,Previous marital status of bridegrooms,Never married,30 – 34,12463
2009,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1102
2009,Previous marital status of bridegrooms,Others,30 – 34,–
2009,Previous marital status of bridegrooms,Total,30 – 34,13565
2009,Previous marital status of bridegrooms,Never married,35 – 39,5867
2009,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,1911
2009,Previous marital status of bridegrooms,Others,35 – 39,–
2009,Previous marital status of bridegrooms,Total,35 – 39,7778
2009,Previous marital status of bridegrooms,Never married,40 – 44,2387
2009,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,2075
2009,Previous marital status of bridegrooms,Others,40 – 44,–
2009,Previous marital status of bridegrooms,Total,40 – 44,4462
2009,Previous marital status of bridegrooms,Never married,45 – 49,1076
2009,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,2168
2009,Previous marital status of bridegrooms,Others,45 – 49,–
2009,Previous marital status of bridegrooms,Total,45 – 49,3244
2009,Previous marital status of bridegrooms,Never married,50+,989
2009,Previous marital status of bridegrooms,Widowed / Divorced,50+,4404
2009,Previous marital status of bridegrooms,Others,50+,95
2009,Previous marital status of bridegrooms,Total,50+,5488
2010,Previous marital status of bridegrooms,Never married,16 – 19,175
2010,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2010,Previous marital status of bridegrooms,Others,16 – 19,–
2010,Previous marital status of bridegrooms,Total,16 – 19,175
2010,Previous marital status of bridegrooms,Never married,20 – 24,3737
2010,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,15
2010,Previous marital status of bridegrooms,Others,20 – 24,–
2010,Previous marital status of bridegrooms,Total,20 – 24,3752
2010,Previous marital status of bridegrooms,Never married,25 – 29,12394
2010,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,309
2010,Previous marital status of bridegrooms,Others,25 – 29,–
2010,Previous marital status of bridegrooms,Total,25 – 29,12703
2010,Previous marital status of bridegrooms,Never married,30 – 34,12751
2010,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1128
2010,Previous marital status of bridegrooms,Others,30 – 34,–
2010,Previous marital status of bridegrooms,Total,30 – 34,13879
2010,Previous marital status of bridegrooms,Never married,35 – 39,6060
2010,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,2056
2010,Previous marital status of bridegrooms,Others,35 – 39,–
2010,Previous marital status of bridegrooms,Total,35 – 39,8116
2010,Previous marital status of bridegrooms,Never married,40 – 44,2445
2010,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,2128
2010,Previous marital status of bridegrooms,Others,40 – 44,–
2010,Previous marital status of bridegrooms,Total,40 – 44,4573
2010,Previous marital status of bridegrooms,Never married,45 – 49,1151
2010,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,2262
2010,Previous marital status of bridegrooms,Others,45 – 49,–
2010,Previous marital status of bridegrooms,Total,45 – 49,3413
2010,Previous marital status of bridegrooms,Never married,50+,1068
2010,Previous marital status of bridegrooms,Widowed / Divorced,50+,4789
2010,Previous marital status of bridegrooms,Others,50+,90
2010,Previous marital status of bridegrooms,Total,50+,5947
2011,Previous marital status of bridegrooms,Never married,16 – 19,174
2011,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2011,Previous marital status of bridegrooms,Others,16 – 19,–
2011,Previous marital status of bridegrooms,Total,16 – 19,174
2011,Previous marital status of bridegrooms,Never married,20 – 24,4061
2011,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,20
2011,Previous marital status of bridegrooms,Others,20 – 24,–
2011,Previous marital status of bridegrooms,Total,20 – 24,4081
2011,Previous marital status of bridegrooms,Never married,25 – 29,13806
2011,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,396
2011,Previous marital status of bridegrooms,Others,25 – 29,–
2011,Previous marital status of bridegrooms,Total,25 – 29,14202
2011,Previous marital status of bridegrooms,Never married,30 – 34,14629
2011,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1261
2011,Previous marital status of bridegrooms,Others,30 – 34,–
2011,Previous marital status of bridegrooms,Total,30 – 34,15890
2011,Previous marital status of bridegrooms,Never married,35 – 39,6747
2011,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,2217
2011,Previous marital status of bridegrooms,Others,35 – 39,–
2011,Previous marital status of bridegrooms,Total,35 – 39,8964
2011,Previous marital status of bridegrooms,Never married,40 – 44,2633
2011,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,2384
2011,Previous marital status of bridegrooms,Others,40 – 44,–
2011,Previous marital status of bridegrooms,Total,40 – 44,5017
2011,Previous marital status of bridegrooms,Never married,45 – 49,1224
2011,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,2404
2011,Previous marital status of bridegrooms,Others,45 – 49,–
2011,Previous marital status of bridegrooms,Total,45 – 49,3628
2011,Previous marital status of bridegrooms,Never married,50+,1092
2011,Previous marital status of bridegrooms,Widowed / Divorced,50+,5199
2011,Previous marital status of bridegrooms,Others,50+,122
2011,Previous marital status of bridegrooms,Total,50+,6413
2012,Previous marital status of bridegrooms,Never married,16 – 19,172
2012,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2012,Previous marital status of bridegrooms,Others,16 – 19,–
2012,Previous marital status of bridegrooms,Total,16 – 19,172
2012,Previous marital status of bridegrooms,Never married,20 – 24,4102
2012,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,27
2012,Previous marital status of bridegrooms,Others,20 – 24,–
2012,Previous marital status of bridegrooms,Total,20 – 24,4129
2012,Previous marital status of bridegrooms,Never married,25 – 29,14208
2012,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,515
2012,Previous marital status of bridegrooms,Others,25 – 29,–
2012,Previous marital status of bridegrooms,Total,25 – 29,14723
2012,Previous marital status of bridegrooms,Never married,30 – 34,15294
2012,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1386
2012,Previous marital status of bridegrooms,Others,30 – 34,–
2012,Previous marital status of bridegrooms,Total,30 – 34,16680
2012,Previous marital status of bridegrooms,Never married,35 – 39,6565
2012,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,2320
2012,Previous marital status of bridegrooms,Others,35 – 39,–
2012,Previous marital status of bridegrooms,Total,35 – 39,8885
2012,Previous marital status of bridegrooms,Never married,40 – 44,2686
2012,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,2578
2012,Previous marital status of bridegrooms,Others,40 – 44,–
2012,Previous marital status of bridegrooms,Total,40 – 44,5264
2012,Previous marital status of bridegrooms,Never married,45 – 49,1244
2012,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,2440
2012,Previous marital status of bridegrooms,Others,45 – 49,–
2012,Previous marital status of bridegrooms,Total,45 – 49,3684
2012,Previous marital status of bridegrooms,Never married,50+,1110
2012,Previous marital status of bridegrooms,Widowed / Divorced,50+,5736
2012,Previous marital status of bridegrooms,Others,50+,76
2012,Previous marital status of bridegrooms,Total,50+,6922
2013,Previous marital status of bridegrooms,Never married,16 – 19,176
2013,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2013,Previous marital status of bridegrooms,Others,16 – 19,–
2013,Previous marital status of bridegrooms,Total,16 – 19,176
2013,Previous marital status of bridegrooms,Never married,20 – 24,3635
2013,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,17
2013,Previous marital status of bridegrooms,Others,20 – 24,–
2013,Previous marital status of bridegrooms,Total,20 – 24,3652
2013,Previous marital status of bridegrooms,Never married,25 – 29,12383
2013,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,415
2013,Previous marital status of bridegrooms,Others,25 – 29,–
2013,Previous marital status of bridegrooms,Total,25 – 29,12798
2013,Previous marital status of bridegrooms,Never married,30 – 34,13353
2013,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1366
2013,Previous marital status of bridegrooms,Others,30 – 34,–
2013,Previous marital status of bridegrooms,Total,30 – 34,14719
2013,Previous marital status of bridegrooms,Never married,35 – 39,5956
2013,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,2224
2013,Previous marital status of bridegrooms,Others,35 – 39,–
2013,Previous marital status of bridegrooms,Total,35 – 39,8180
2013,Previous marital status of bridegrooms,Never married,40 – 44,2437
2013,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,2673
2013,Previous marital status of bridegrooms,Others,40 – 44,–
2013,Previous marital status of bridegrooms,Total,40 – 44,5110
2013,Previous marital status of bridegrooms,Never married,45 – 49,1126
2013,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,2455
2013,Previous marital status of bridegrooms,Others,45 – 49,–
2013,Previous marital status of bridegrooms,Total,45 – 49,3581
2013,Previous marital status of bridegrooms,Never married,50+,1036
2013,Previous marital status of bridegrooms,Widowed / Divorced,50+,5959
2013,Previous marital status of bridegrooms,Others,50+,63
2013,Previous marital status of bridegrooms,Total,50+,7058
2014,Previous marital status of bridegrooms,Never married,16 – 19,182
2014,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2014,Previous marital status of bridegrooms,Others,16 – 19,–
2014,Previous marital status of bridegrooms,Total,16 – 19,182
2014,Previous marital status of bridegrooms,Never married,20 – 24,3532
2014,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,23
2014,Previous marital status of bridegrooms,Others,20 – 24,–
2014,Previous marital status of bridegrooms,Total,20 – 24,3555
2014,Previous marital status of bridegrooms,Never married,25 – 29,13116
2014,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,412
2014,Previous marital status of bridegrooms,Others,25 – 29,–
2014,Previous marital status of bridegrooms,Total,25 – 29,13528
2014,Previous marital status of bridegrooms,Never married,30 – 34,14010
2014,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1344
2014,Previous marital status of bridegrooms,Others,30 – 34,–
2014,Previous marital status of bridegrooms,Total,30 – 34,15354
2014,Previous marital status of bridegrooms,Never married,35 – 39,6084
2014,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,2146
2014,Previous marital status of bridegrooms,Others,35 – 39,–
2014,Previous marital status of bridegrooms,Total,35 – 39,8230
2014,Previous marital status of bridegrooms,Never married,40 – 44,2552
2014,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,2570
2014,Previous marital status of bridegrooms,Others,40 – 44,–
2014,Previous marital status of bridegrooms,Total,40 – 44,5122
2014,Previous marital status of bridegrooms,Never married,45 – 49,1149
2014,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,2226
2014,Previous marital status of bridegrooms,Others,45 – 49,–
2014,Previous marital status of bridegrooms,Total,45 – 49,3375
2014,Previous marital status of bridegrooms,Never married,50+,1020
2014,Previous marital status of bridegrooms,Widowed / Divorced,50+,6048
2014,Previous marital status of bridegrooms,Others,50+,40
2014,Previous marital status of bridegrooms,Total,50+,7108
2015,Previous marital status of bridegrooms,Never married,16 – 19,155
2015,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2015,Previous marital status of bridegrooms,Others,16 – 19,–
2015,Previous marital status of bridegrooms,Total,16 – 19,155
2015,Previous marital status of bridegrooms,Never married,20 – 24,3036
2015,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,22
2015,Previous marital status of bridegrooms,Others,20 – 24,–
2015,Previous marital status of bridegrooms,Total,20 – 24,3058
2015,Previous marital status of bridegrooms,Never married,25 – 29,11990
2015,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,326
2015,Previous marital status of bridegrooms,Others,25 – 29,–
2015,Previous marital status of bridegrooms,Total,25 – 29,12316
2015,Previous marital status of bridegrooms,Never married,30 – 34,13028
2015,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1220
2015,Previous marital status of bridegrooms,Others,30 – 34,–
2015,Previous marital status of bridegrooms,Total,30 – 34,14248
2015,Previous marital status of bridegrooms,Never married,35 – 39,5553
2015,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,1847
2015,Previous marital status of bridegrooms,Others,35 – 39,–
2015,Previous marital status of bridegrooms,Total,35 – 39,7400
2015,Previous marital status of bridegrooms,Never married,40 – 44,2291
2015,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,2262
2015,Previous marital status of bridegrooms,Others,40 – 44,–
2015,Previous marital status of bridegrooms,Total,40 – 44,4553
2015,Previous marital status of bridegrooms,Never married,45 – 49,1039
2015,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,2127
2015,Previous marital status of bridegrooms,Others,45 – 49,–
2015,Previous marital status of bridegrooms,Total,45 – 49,3166
2015,Previous marital status of bridegrooms,Never married,50+,1014
2015,Previous marital status of bridegrooms,Widowed / Divorced,50+,5659
2015,Previous marital status of bridegrooms,Others,50+,40
2015,Previous marital status of bridegrooms,Total,50+,6713
2016,Previous marital status of bridegrooms,Never married,16 – 19,132
2016,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,1
2016,Previous marital status of bridegrooms,Others,16 – 19,–
2016,Previous marital status of bridegrooms,Total,16 – 19,133
2016,Previous marital status of bridegrooms,Never married,20 – 24,2954
2016,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,25
2016,Previous marital status of bridegrooms,Others,20 – 24,–
2016,Previous marital status of bridegrooms,Total,20 – 24,2979
2016,Previous marital status of bridegrooms,Never married,25 – 29,11268
2016,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,313
2016,Previous marital status of bridegrooms,Others,25 – 29,–
2016,Previous marital status of bridegrooms,Total,25 – 29,11581
2016,Previous marital status of bridegrooms,Never married,30 – 34,12560
2016,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1192
2016,Previous marital status of bridegrooms,Others,30 – 34,–
2016,Previous marital status of bridegrooms,Total,30 – 34,13752
2016,Previous marital status of bridegrooms,Never married,35 – 39,5442
2016,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,1787
2016,Previous marital status of bridegrooms,Others,35 – 39,–
2016,Previous marital status of bridegrooms,Total,35 – 39,7229
2016,Previous marital status of bridegrooms,Never married,40 – 44,2310
2016,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,2261
2016,Previous marital status of bridegrooms,Others,40 – 44,–
2016,Previous marital status of bridegrooms,Total,40 – 44,4571
2016,Previous marital status of bridegrooms,Never married,45 – 49,986
2016,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,2065
2016,Previous marital status of bridegrooms,Others,45 – 49,–
2016,Previous marital status of bridegrooms,Total,45 – 49,3051
2016,Previous marital status of bridegrooms,Never married,50+,990
2016,Previous marital status of bridegrooms,Widowed / Divorced,50+,5687
2016,Previous marital status of bridegrooms,Others,50+,35
2016,Previous marital status of bridegrooms,Total,50+,6712
2017,Previous marital status of bridegrooms,Never married,16 – 19,115
2017,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,1
2017,Previous marital status of bridegrooms,Others,16 – 19,–
2017,Previous marital status of bridegrooms,Total,16 – 19,116
2017,Previous marital status of bridegrooms,Never married,20 – 24,2797
2017,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,15
2017,Previous marital status of bridegrooms,Others,20 – 24,–
2017,Previous marital status of bridegrooms,Total,20 – 24,2812
2017,Previous marital status of bridegrooms,Never married,25 – 29,11885
2017,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,317
2017,Previous marital status of bridegrooms,Others,25 – 29,–
2017,Previous marital status of bridegrooms,Total,25 – 29,12202
2017,Previous marital status of bridegrooms,Never married,30 – 34,13076
2017,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1182
2017,Previous marital status of bridegrooms,Others,30 – 34,–
2017,Previous marital status of bridegrooms,Total,30 – 34,14258
2017,Previous marital status of bridegrooms,Never married,35 – 39,5827
2017,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,1776
2017,Previous marital status of bridegrooms,Others,35 – 39,–
2017,Previous marital status of bridegrooms,Total,35 – 39,7603
2017,Previous marital status of bridegrooms,Never married,40 – 44,2430
2017,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,2218
2017,Previous marital status of bridegrooms,Others,40 – 44,–
2017,Previous marital status of bridegrooms,Total,40 – 44,4648
2017,Previous marital status of bridegrooms,Never married,45 – 49,1056
2017,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,2139
2017,Previous marital status of bridegrooms,Others,45 – 49,–
2017,Previous marital status of bridegrooms,Total,45 – 49,3195
2017,Previous marital status of bridegrooms,Never married,50+,1103
2017,Previous marital status of bridegrooms,Widowed / Divorced,50+,5846
2017,Previous marital status of bridegrooms,Others,50+,34
2017,Previous marital status of bridegrooms,Total,50+,6983
2018,Previous marital status of bridegrooms,Never married,16 – 19,86
2018,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,-
2018,Previous marital status of bridegrooms,Others,16 – 19,–
2018,Previous marital status of bridegrooms,Total,16 – 19,86
2018,Previous marital status of bridegrooms,Never married,20 – 24,2567
2018,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,15
2018,Previous marital status of bridegrooms,Others,20 – 24,–
2018,Previous marital status of bridegrooms,Total,20 – 24,2582
2018,Previous marital status of bridegrooms,Never married,25 – 29,10850
2018,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,343
2018,Previous marital status of bridegrooms,Others,25 – 29,–
2018,Previous marital status of bridegrooms,Total,25 – 29,11193
2018,Previous marital status of bridegrooms,Never married,30 – 34,12482
2018,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,1057
2018,Previous marital status of bridegrooms,Others,30 – 34,–
2018,Previous marital status of bridegrooms,Total,30 – 34,13539
2018,Previous marital status of bridegrooms,Never married,35 – 39,5674
2018,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,1807
2018,Previous marital status of bridegrooms,Others,35 – 39,–
2018,Previous marital status of bridegrooms,Total,35 – 39,7481
2018,Previous marital status of bridegrooms,Never married,40 – 44,2147
2018,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,2064
2018,Previous marital status of bridegrooms,Others,40 – 44,–
2018,Previous marital status of bridegrooms,Total,40 – 44,4211
2018,Previous marital status of bridegrooms,Never married,45 – 49,1035
2018,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,2113
2018,Previous marital status of bridegrooms,Others,45 – 49,–
2018,Previous marital status of bridegrooms,Total,45 – 49,3148
2018,Previous marital status of bridegrooms,Never married,50+,1004
2018,Previous marital status of bridegrooms,Widowed / Divorced,50+,6051
2018,Previous marital status of bridegrooms,Others,50+,36
2018,Previous marital status of bridegrooms,Total,50+,7091
2019,Previous marital status of bridegrooms,Never married,16 – 19,73
2019,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2019,Previous marital status of bridegrooms,Others,16 – 19,–
2019,Previous marital status of bridegrooms,Total,16 – 19,73
2019,Previous marital status of bridegrooms,Never married,20 – 24,2231
2019,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,11
2019,Previous marital status of bridegrooms,Others,20 – 24,–
2019,Previous marital status of bridegrooms,Total,20 – 24,2242
2019,Previous marital status of bridegrooms,Never married,25 – 29,9344
2019,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,296
2019,Previous marital status of bridegrooms,Others,25 – 29,–
2019,Previous marital status of bridegrooms,Total,25 – 29,9640
2019,Previous marital status of bridegrooms,Never married,30 – 34,11198
2019,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,996
2019,Previous marital status of bridegrooms,Others,30 – 34,–
2019,Previous marital status of bridegrooms,Total,30 – 34,12194
2019,Previous marital status of bridegrooms,Never married,35 – 39,5169
2019,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,1638
2019,Previous marital status of bridegrooms,Others,35 – 39,–
2019,Previous marital status of bridegrooms,Total,35 – 39,6807
2019,Previous marital status of bridegrooms,Never married,40 – 44,2045
2019,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,1809
2019,Previous marital status of bridegrooms,Others,40 – 44,–
2019,Previous marital status of bridegrooms,Total,40 – 44,3854
2019,Previous marital status of bridegrooms,Never married,45 – 49,927
2019,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,1874
2019,Previous marital status of bridegrooms,Others,45 – 49,–
2019,Previous marital status of bridegrooms,Total,45 – 49,2801
2019,Previous marital status of bridegrooms,Never married,50+,978
