Yr_of_birth,Age,Fert_rates
1981,33,91.6
1981,34,85.8
1981,35,78.8
1981,36,62.7
1981,37,50.7
1981,38,40.3
1981,39,26.9
1981,40,17.9
1981,41,-
1981,42,-
1981,43,-
1981,44,-
1981,45,-
1981,46,-
1981,47,-
1981,48,-
1981,49,-
1982,15,0.9
1982,16,2.3
1982,17,4.3
1982,18,6.7
1982,19,9.8
1982,20,16
1982,21,22.6
1982,22,31.9
1982,23,36.7
1982,24,41.2
1982,25,45.9
1982,26,52.4
1982,27,58.9
1982,28,72.2
1982,29,79.1
1982,30,103.1
1982,31,93.5
1982,32,107.3
1982,33,98.7
1982,34,93.4
1982,35,81.7
1982,36,65.9
1982,37,50.8
1982,38,36.2
1982,39,23.8
1982,40,-
1982,41,-
1982,42,-
1982,43,-
1982,44,-
1982,45,-
1982,46,-
1982,47,-
1982,48,-
1982,49,-
1983,15,1.3
1983,16,1.6
1983,17,3.3
1983,18,5.6
1983,19,8.8
1983,20,13.1
1983,21,20.6
1983,22,26.6
1983,23,30.4
1983,24,35.4
1983,25,41.3
1983,26,49.7
1983,27,61
1983,28,74.4
1983,29,85.7
1983,30,78
1983,31,98.2
1983,32,97.9
1983,33,93.1
1983,34,84.1
1983,35,71.9
1983,36,66.7
1983,37,45.7
1983,38,34.1
1983,39,-
1983,40,-
1983,41,-
1983,42,-
1983,43,-
1983,44,-
1983,45,-
1983,46,-
1983,47,-
1983,48,-
1983,49,-
1984,15,0.8
1984,16,1.6
1984,17,3.4
1984,18,5.3
1984,19,7.8
1984,20,12.8
1984,21,19.3
1984,22,24
1984,23,31.7
1984,24,35.3
1984,25,39.9
1984,26,47
1984,27,61.1
1984,28,76.7
1984,29,73.4
1984,30,87.7
1984,31,93.1
1984,32,96.7
1984,33,86.8
1984,34,82.4
1984,35,71.6
1984,36,56.3
1984,37,44.8
1984,38,-
1984,39,-
1984,40,-
1984,41,-
1984,42,-
1984,43,-
1984,44,-
1984,45,-
1984,46,-
1984,47,-
1984,48,-
1984,49,-
1985,15,0.9
1985,16,1.4
1985,17,3.1
1985,18,5.2
1985,19,8.5
1985,20,12.5
1985,21,17.1
1985,22,22.9
1985,23,28.8
1985,24,36.5
1985,25,42.4
1985,26,54.3
1985,27,61.5
1985,28,64.3
1985,29,80.4
1985,30,83.2
1985,31,96.9
1985,32,92.1
1985,33,85.2
1985,34,79.8
1985,35,62.3
1985,36,51.1
1985,37,-
1985,38,-
1985,39,-
1985,40,-
1985,41,-
1985,42,-
1985,43,-
1985,44,-
1985,45,-
1985,46,-
1985,47,-
1985,48,-
1985,49,-
1986,15,0.8
1986,16,1
1986,17,2.9
1986,18,6.1
1986,19,8.3
1986,20,12.2
1986,21,15.3
1986,22,24.1
1986,23,30.8
1986,24,37.5
1986,25,45.7
1986,26,49.8
1986,27,51.4
1986,28,71.5
1986,29,78.2
1986,30,84.5
1986,31,86.1
1986,32,85.1
1986,33,87
1986,34,73.1
1986,35,60.5
1986,36,-
1986,37,-
1986,38,-
1986,39,-
1986,40,-
1986,41,-
1986,42,-
1986,43,-
1986,44,-
1986,45,-
1986,46,-
1986,47,-
1986,48,-
1986,49,-
1987,15,0.7
1987,16,1.4
1987,17,2.6
1987,18,4.5
1987,19,8
1987,20,11.4
1987,21,15.7
1987,22,26.6
1987,23,32.1
1987,24,39.3
1987,25,44.9
1987,26,47.1
1987,27,62.2
1987,28,74.5
1987,29,80.6
1987,30,81.6
1987,31,93
1987,32,96.2
1987,33,77.7
1987,34,65.8
1987,35,-
1987,36,-
1987,37,-
1987,38,-
1987,39,-
1987,40,-
1987,41,-
1987,42,-
1987,43,-
1987,44,-
1987,45,-
1987,46,-
1987,47,-
1987,48,-
1987,49,-
1988,15,0.9
1988,16,1.3
1988,17,2.4
1988,18,4.3
1988,19,8.1
1988,20,10.4
1988,21,17.5
1988,22,26.6
1988,23,37.6
1988,24,35.8
1988,25,36.3
1988,26,51.5
1988,27,57.6
1988,28,70.8
1988,29,75.4
1988,30,80.2
1988,31,87.6
1988,32,76.1
1988,33,67.3
1988,34,-
1988,35,-
1988,36,-
1988,37,-
1988,38,-
1988,39,-
1988,40,-
1988,41,-
1988,42,-
1988,43,-
1988,44,-
1988,45,-
1988,46,-
1988,47,-
1988,48,-
1988,49,-
1989,15,0.7
1989,16,1.1
1989,17,2.3
1989,18,4.2
1989,19,7.2
1989,20,11.2
1989,21,16.2
1989,22,25.4
1989,23,25.3
1989,24,29.2
1989,25,38.1
1989,26,46.6
1989,27,57.8
1989,28,65
1989,29,70.3
1989,30,77.7
1989,31,71.4
1989,32,70.8
1989,33,-
1989,34,-
1989,35,-
1989,36,-
1989,37,-
1989,38,-
1989,39,-
1989,40,-
1989,41,-
1989,42,-
1989,43,-
1989,44,-
1989,45,-
1989,46,-
1989,47,-
1989,48,-
1989,49,-
1990,15,0.6
1990,16,0.9
1990,17,1.9
1990,18,4.1
1990,19,7.4
1990,20,13.3
1990,21,18.1
1990,22,19.9
1990,23,22.1
1990,24,31.2
1990,25,38.7
1990,26,46.5
1990,27,50.4
1990,28,60
1990,29,66.7
1990,30,62.6
1990,31,61.4
1990,32,-
1990,33,-
1990,34,-
1990,35,-
1990,36,-
1990,37,-
1990,38,-
1990,39,-
1990,40,-
1990,41,-
1990,42,-
1990,43,-
1990,44,-
1990,45,-
1990,46,-
1990,47,-
1990,48,-
1990,49,-
1991,15,0.6
1991,16,1.1
1991,17,2
1991,18,4
1991,19,7.7
1991,20,12.5
1991,21,14.2
1991,22,16.6
1991,23,24.1
1991,24,31.6
1991,25,37.8
1991,26,42.2
1991,27,47.8
1991,28,60.1
1991,29,51.6
1991,30,52.9
1991,31,-
1991,32,-
1991,33,-
1991,34,-
1991,35,-
1991,36,-
1991,37,-
1991,38,-
1991,39,-
1991,40,-
1991,41,-
1991,42,-
1991,43,-
1991,44,-
1991,45,-
1991,46,-
1991,47,-
1991,48,-
1991,49,-
1992,15,0.5
1992,16,0.8
1992,17,2.4
1992,18,4.9
1992,19,7.3
1992,20,8.7
1992,21,13
1992,22,18.3
1992,23,23.7
1992,24,30.2
1992,25,35.1
1992,26,39.7
1992,27,47.2
1992,28,44.8
1992,29,43.3
1992,30,-
1992,31,-
1992,32,-
1992,33,-
1992,34,-
1992,35,-
1992,36,-
1992,37,-
1992,38,-
1992,39,-
1992,40,-
1992,41,-
1992,42,-
1992,43,-
1992,44,-
1992,45,-
1992,46,-
1992,47,-
1992,48,-
1992,49,-
1993,15,0.3
1993,16,0.6
1993,17,2.1
1993,18,4.2
1993,19,5.7
1993,20,9.1
1993,21,13.3
1993,22,18.3
1993,23,21.4
1993,24,27.4
1993,25,31.4
1993,26,35.5
1993,27,34.7
1993,28,35.9
1993,29,-
1993,30,-
1993,31,-
1993,32,-
1993,33,-
1993,34,-
1993,35,-
1993,36,-
1993,37,-
1993,38,-
1993,39,-
1993,40,-
1993,41,-
1993,42,-
1993,43,-
1993,44,-
1993,45,-
1993,46,-
1993,47,-
1993,48,-
1993,49,-
1994,15,0.6
1994,16,1.2
1994,17,2.9
1994,18,4.2
1994,19,6.1
1994,20,9.6
1994,21,13.6
1994,22,16.2
1994,23,21.2
1994,24,25.1
1994,25,28.6
1994,26,28
1994,27,27.2
1994,28,-
1994,29,-
1994,30,-
1994,31,-
1994,32,-
1994,33,-
1994,34,-
1994,35,-
1994,36,-
1994,37,-
1994,38,-
1994,39,-
1994,40,-
1994,41,-
1994,42,-
1994,43,-
1994,44,-
1994,45,-
1994,46,-
1994,47,-
1994,48,-
1994,49,-
1995,15,0.4
1995,16,0.8
1995,17,2.3
1995,18,3.8
1995,19,6.5
1995,20,8.6
1995,21,12.1
1995,22,15.5
1995,23,18.2
1995,24,22.8
1995,25,22.3
1995,26,21.4
1995,27,-
1995,28,-
1995,29,-
1995,30,-
1995,31,-
1995,32,-
1995,33,-
1995,34,-
1995,35,-
1995,36,-
1995,37,-
1995,38,-
1995,39,-
1995,40,-
1995,41,-
1995,42,-
1995,43,-
1995,44,-
1995,45,-
1995,46,-
1995,47,-
1995,48,-
1995,49,-
1996,15,0.7
1996,16,0.7
1996,17,1.8
1996,18,3.9
1996,19,5.6
1996,20,8.7
1996,21,11.5
1996,22,13.7
1996,23,17.8
1996,24,18.3
1996,25,16.9
1996,26,-
1996,27,-
1996,28,-
1996,29,-
1996,30,-
1996,31,-
1996,32,-
1996,33,-
1996,34,-
1996,35,-
1996,36,-
1996,37,-
1996,38,-
1996,39,-
1996,40,-
1996,41,-
1996,42,-
1996,43,-
1996,44,-
1996,45,-
1996,46,-
1996,47,-
1996,48,-
1996,49,-
1997,15,0.8
1997,16,0.9
1997,17,2.4
1997,18,3.7
1997,19,5.5
1997,20,8.3
1997,21,11
1997,22,12.3
1997,23,14.1
1997,24,15.3
1997,25,-
1997,26,-
1997,27,-
1997,28,-
1997,29,-
1997,30,-
1997,31,-
1997,32,-
1997,33,-
1997,34,-
1997,35,-
1997,36,-
1997,37,-
1997,38,-
1997,39,-
1997,40,-
1997,41,-
1997,42,-
1997,43,-
1997,44,-
1997,45,-
1997,46,-
1997,47,-
1997,48,-
1997,49,-
1998,15,0.6
1998,16,0.8
1998,17,2.3
1998,18,3.8
1998,19,5.4
1998,20,7.2
1998,21,9.2
1998,22,10.3
1998,23,9.9
1998,24,-
1998,25,-
1998,26,-
1998,27,-
1998,28,-
1998,29,-
1998,30,-
1998,31,-
1998,32,-
1998,33,-
1998,34,-
1998,35,-
1998,36,-
1998,37,-
1998,38,-
1998,39,-
1998,40,-
1998,41,-
1998,42,-
1998,43,-
1998,44,-
1998,45,-
1998,46,-
1998,47,-
1998,48,-
1998,49,-
1999,15,0.4
1999,16,1.1
1999,17,1.9
1999,18,3.5
1999,19,4.4
1999,20,7.5
1999,21,7.3
1999,22,7.9
1999,23,-
1999,24,-
1999,25,-
1999,26,-
1999,27,-
1999,28,-
1999,29,-
1999,30,-
1999,31,-
1999,32,-
1999,33,-
1999,34,-
1999,35,-
1999,36,-
1999,37,-
1999,38,-
1999,39,-
1999,40,-
1999,41,-
1999,42,-
1999,43,-
1999,44,-
1999,45,-
1999,46,-
1999,47,-
1999,48,-
1999,49,-
2000,15,0.5
2000,16,0.7
2000,17,1.8
2000,18,3.1
2000,19,4
2000,20,5.4
2000,21,5.4
2000,22,-
2000,23,-
2000,24,-
2000,25,-
2000,26,-
2000,27,-
2000,28,-
2000,29,-
2000,30,-
2000,31,-
2000,32,-
2000,33,-
2000,34,-
2000,35,-
2000,36,-
2000,37,-
2000,38,-
2000,39,-
2000,40,-
2000,41,-
2000,42,-
2000,43,-
2000,44,-
2000,45,-
2000,46,-
2000,47,-
2000,48,-
2000,49,-
2001,15,0.5
2001,16,1.2
2001,17,1.8
2001,18,2.8
2001,19,3.9
2001,20,4.5
2001,21,-
2001,22,-
2001,23,-
2001,24,-
2001,25,-
2001,26,-
2001,27,-
2001,28,-
2001,29,-
2001,30,-
2001,31,-
2001,32,-
2001,33,-
2001,34,-
2001,35,-
2001,36,-
2001,37,-
2001,38,-
2001,39,-
2001,40,-
2001,41,-
2001,42,-
2001,43,-
2001,44,-
2001,45,-
2001,46,-
2001,47,-
2001,48,-
2001,49,-
2002,15,0.6
2002,16,0.8
2002,17,1.1
2002,18,2.1
2002,19,3.5
2002,20,-
2002,21,-
2002,22,-
2002,23,-
2002,24,-
2002,25,-
2002,26,-
2002,27,-
2002,28,-
2002,29,-
2002,30,-
2002,31,-
2002,32,-
2002,33,-
2002,34,-
2002,35,-
2002,36,-
2002,37,-
2002,38,-
2002,39,-
2002,40,-
2002,41,-
2002,42,-
2002,43,-
2002,44,-
2002,45,-
2002,46,-
2002,47,-
2002,48,-
2002,49,-
2003,15,0.3
2003,16,0.8
2003,17,1.2
2003,18,1.3
2003,19,-
2003,20,-
2003,21,-
2003,22,-
2003,23,-
2003,24,-
2003,25,-
2003,26,-
2003,27,-
2003,28,-
2003,29,-
2003,30,-
2003,31,-
2003,32,-
2003,33,-
2003,34,-
2003,35,-
2003,36,-
2003,37,-
2003,38,-
2003,39,-
2003,40,-
2003,41,-
2003,42,-
2003,43,-
2003,44,-
2003,45,-
2003,46,-
2003,47,-
2003,48,-
2003,49,-
2004,15,0.3
2004,16,0.5
2004,17,1.1
2004,18,-
2004,19,-
2004,20,-
2004,21,-
2004,22,-
2004,23,-
2004,24,-
2004,25,-
2004,26,-
2004,27,-
2004,28,-
2004,29,-
2004,30,-
2004,31,-
2004,32,-
2004,33,-
2004,34,-
2004,35,-
2004,36,-
2004,37,-
2004,38,-
2004,39,-
2004,40,-
2004,41,-
2004,42,-
2004,43,-
2004,44,-
2004,45,-
2004,46,-
2004,47,-
2004,48,-
2004,49,-
2005,15,0.3
2005,16,0.6
2005,17,-
2005,18,-
2005,19,-
2005,20,-
2005,21,-
2005,22,-
2005,23,-
2005,24,-
2005,25,-
2005,26,-
2005,27,-
2005,28,-
2005,29,-
2005,30,-
2005,31,-
2005,32,-
2005,33,-
2005,34,-
2005,35,-
2005,36,-
2005,37,-
2005,38,-
2005,39,-
2005,40,-
2005,41,-
2005,42,-
2005,43,-
2005,44,-
2005,45,-
2005,46,-
2005,47,-
2005,48,-
2005,49,-
2006,15,0.1
2006,16,-
2006,17,-
2006,18,-
2006,19,-
2006,20,-
2006,21,-
2006,22,-
2006,23,-
2006,24,-
2006,25,-
2006,26,-
2006,27,-
2006,28,-
2006,29,-
2006,30,-
2006,31,-
2006,32,-
2006,33,-
2006,34,-
2006,35,-
2006,36,-
2006,37,-
2006,38,-
2006,39,-
2006,40,-
2006,41,-
2006,42,-
2006,43,-
2006,44,-
2006,45,-
2006,46,-
2006,47,-
2006,48,-
2006,49,-
